Category,Difficulty,Question,Correct Answer,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3
"Network Security",1,"This is a small hardware device or software program that monitors traffic entering or leaving a network.","Firewall","Router","Modem","Switch"
"Network Security",2,"This type of cyber attack disrupts services by overwhelming them with a flood of Internet traffic.","DDoS attack","Phishing","SQL Injection","Man-in-the-Middle attack"
"Network Security",3,"This security protocol is used to secure communications over computer networks against eavesdropping.","SSL/TLS","HTTP","FTP","SSH"
"Network Security",4,"In cryptography, it's a method where the same key is used for both encrypting and decrypting data.","Symmetric Encryption","Asymmetric Encryption","Hashing","Salted Hash"
"Network Security",5,"This type of attack involves intercepting legitimate communication and inserting false information.","Man-in-the-Middle attack","Spoofing","Eavesdropping","Social Engineering"
"Web Development",1,"HTML stands for this.","HyperText Markup Language","Hypertext Makeup Language","Hyperlink Media Language","HyperText Management Language"
"Web Development",2,"This language is the most widely used client-side scripting language for web pages.","JavaScript","Python","Java","C#"
"Web Development",3,"This framework is popular for developing dynamic websites using Python.","Django","Flask","Ruby on Rails","Laravel"
"Web Development",4,"This term refers to the part of a website that users interact with directly, encompassing design and UI elements.","Frontend","Backend","Server-side","Database"
"Web Development",5,"This tool, named after an arachnid, is used for getting data from websites.","Web Crawler","Web Server","Web Framework","Web API"
"Programming Concepts",1,"This programming concept involves writing code that can run simultaneously with other code.","Multithreading","Sequential Execution","Synchronous Programming","Single-threading"
"Programming Concepts",2,"In object-oriented programming, this term refers to the bundling of data with the methods that operate on that data.","Encapsulation","Inheritance","Polymorphism","Abstraction"
"Programming Concepts",3,"This term refers to the process of finding and fixing defects or problems within a computer program.","Debugging","Compiling","Interpreting","Refactoring"
"Programming Concepts",4,"A function that calls itself during its execution is known as this.","Recursive Function","an Iterative Function","Lambda Function","Concurrent Function"
"Programming Concepts",5,"This programming principle advises that modules, classes, functions, etc., should be open for extension but closed for modification.","The Open/Closed Principle","The Single Responsibility Principle","The Liskov Substitution Principle","The Dependency Inversion Principle"
"Artificial Intelligence",1,"This branch of AI involves teaching computers to learn from data and make decisions or predictions based on it.","Machine Learning","Deep Learning","Neural Networking","Cognitive Computing"
"Artificial Intelligence",2,"This popular Python library is used for numerical computations and is fundamental for deep learning.","TensorFlow","PyTorch","Keras","NumPy"
"Artificial Intelligence",3,"This type of machine learning involves models that can make inferences with no supervision.","Unsupervised Learning","Supervised Learning","Reinforcement Learning","Semi-supervised Learning"
"Artificial Intelligence",4,"A common method used in AI to train deep neural networks by minimizing the error through adjusting weights.","Backpropagation","Gradient Descent","Cluster Analysis","Dimensionality Reduction"
"Artificial Intelligence",5,"This AI concept refers to machines making decisions or taking actions","Automation","Machine Learning","Prompt Engineering","Modeling"
"Cloud Computing",1,"This cloud computing service model provides virtualized computing resources over the internet.","IaaS (Infrastructure as a Service)","SaaS (Software as a Service)","PaaS (Platform as a Service)","FaaS (Function as a Service)"
"Cloud Computing",2,"Offered by Amazon, this is one of the most popular cloud services platforms.","AWS (Amazon Web Services)","Google Cloud Platform","Microsoft Azure","IBM Cloud"
"Cloud Computing",3,"This technology, essential for cloud computing, allows for the creation of virtualized IT resources.","Virtualization","Cloud Storage","Distributed Computing","Containerization"
"Cloud Computing",4,"This open-source platform is used for automating computer application deployment, scaling, and management.","Kubernetes","Docker","Ansible","Terraform"
"Cloud Computing",5,"Known as a serverless framework, it allows you to build and run applications without thinking about servers.","AWS Lambda","Google App Engine","Microsoft Azure Functions","IBM Cloud Functions"
"Machine Learning",1,"This type of machine learning algorithm involves the computer learning from data provided so that it can make a decision.","Supervised Learning","Unsupervised Learning","Reinforcement Learning","Semi-supervised Learning"
"Machine Learning",2,"An algorithm that can group unsorted information based on similarities and differences without prior training.","Clustering","Classification","Regression","Association"
"Machine Learning",3,"This popular machine learning library in Python provides tools for data mining and data analysis.","Pandas","Scikit-learn","NumPy","TensorFlow"
"Machine Learning",4,"A common metric for evaluating a classification model, it is the ratio of correctly predicted positive observations to the total predicted positives.","Precision","Recall","Accuracy","F1 Score"
"Machine Learning",5,"This problem in data analytics where the algorithm is too closely tailored to a particular dataset and may fail to predict future observations reliably.","Overfitting","Underfitting","Data Leakage","Bias"
"Database Systems",1,"A type of database management system that stores information in tables that are linked to other tables.","Relational Database","NoSQL Database","Graph Database","Distributed Database"
"Database Systems",2,"SQL stands for this.","Structured Query Language","Standard Query Language","Simplified Query Language","Sequential Query Language"
"Database Systems",3,"This NoSQL database is known for its document-oriented storage and high scalability.","MongoDB","Cassandra","Redis","CouchDB"
"Database Systems",4,"A property of database transactions which guarantees that either all of the changes are committed or none of them are.","Atomicity","Consistency","Isolation","Durability"
"Database Systems",5,"This type of data integrity enforces constraints in a database at the column level.","Domain Integrity","Referential Integrity","Entity Integrity","User-Defined Integrity"
"Software Engineering",1,"In software development, this term describes an approach that assesses the direction of a project on an ongoing basis and changes plans as needed.","Agile Methodology","Waterfall Methodology","Spiral Methodology","V-Model Methodology"
"Software Engineering",2,"A diagram used in software engineering to describe the flow of processes or systems.","Flowchart","an ERD (Entity-Relationship Diagram)","UML (Unified Modeling Language) Diagram","Gantt Chart"
"Software Engineering",3,"This principle in software engineering emphasizes that a class should have only one reason to change.","Single Responsibility Principle","Open/Closed Principle","Liskov Substitution Principle","Interface Segregation Principle"
"Software Engineering",4,"A standard software design pattern for dealing with object creation mechanisms, trying to create objects in a manner suitable to the situation.","Factory Pattern","Flyweight Pattern","Facade Pattern","Observer Pattern"
"Software Engineering",5,"This person was the first to describe the Spiral Model of software engineering","Barry Boehm","Bev Littlewood","Linus Torvalds","James Gosling"
